2019 Federal Election House of Representatives First Preferences By Party [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:44 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
LDP,Liberal Democrats (LDP),18,10,10,0,28271,0.24,1901,0.33,125,0.27,2201,0.37,2168,0.18,34666,0.24,-0.25
DLP,DLP - Democratic Labour Party,19,8,8,0,14245,0.12,1383,0.24,77,0.17,1020,0.17,1562,0.13,18287,0.13,0.11
DHJP,Derryn Hinch's Justice Party,20,8,8,0,19903,0.17,1128,0.2,81,0.18,1295,0.22,4396,0.36,26803,0.19,0.07
ASP,"Shooters, Fishers and Farmers",21,8,8,0,35222,0.3,1771,0.31,146,0.32,1998,0.34,2342,0.19,41479,0.29,0.18
FUT,Science Party,22,7,7,0,10176,0.09,774,0.13,49,0.11,674,0.11,944,0.08,12617,0.09,-0.02
AUP,Australian Progressives,23,5,5,0,6689,0.06,195,0.03,30,0.06,322,0.05,523,0.04,7759,0.05,0.05
GAP,The Great Australian Party,24,5,5,0,4482,0.04,229,0.04,28,0.06,238,0.04,378,0.03,5355,0.04,0.04
AFN,Australia First Party (NSW) Incorporated,25,4,4,0,5515,0.05,299,0.05,31,0.07,335,0.06,606,0.05,6786,0.05,0
SEP,Socialist Equality Party,26,4,4,0,2253,0.02,176,0.03,15,0.03,181,0.03,241,0.02,2866,0.02,0.01
REAS,Reason Australia,27,3,3,0,6902,0.06,511,0.09,37,0.08,505,0.09,940,0.08,8895,0.06,0.06
SAL,Socialist Alliance,28,3,3,0,1950,0.02,125,0.02,6,0.01,107,0.02,259,0.02,2447,0.02,-0.01
VNS,Victorian Socialists,29,3,3,0,11047,0.09,431,0.07,47,0.1,321,0.05,607,0.05,12453,0.09,0.09
CEC,Citizens Electoral Council,30,2,2,0,2730,0.02,153,0.03,23,0.05,141,0.02,220,0.02,3267,0.02,-0.02
ABFA,Australian Better Families,31,1,1,0,1691,0.01,153,0.03,15,0.03,92,0.02,121,0.01,2072,0.01,0.01
AUD,Australian Democrats,32,1,1,0,1486,0.01,189,0.03,20,0.04,102,0.02,242,0.02,2039,0.01,0.01
AWP,Australian Workers Party,33,1,1,0,1418,0.01,107,0.02,8,0.02,83,0.01,60,0,1676,0.01,0.01
CPP,Child Protection Party,34,1,1,0,906,0.01,114,0.02,6,0.01,39,0.01,154,0.01,1219,0.01,0.01
IMO,Involuntary Medication Objectors (Vaccination/Fluoride) Party,35,1,1,0,1016,0.01,39,0.01,2,0,82,0.01,40,0,1179,0.01,0.01
LAOL,Love Australia or Leave,36,1,1,0,1232,0.01,60,0.01,4,0.01,87,0.01,181,0.01,1564,0.01,0.01
NCP,Non-Custodial Parents Party,37,1,1,0,1038,0.01,65,0.01,4,0.01,43,0.01,63,0.01,1213,0.01,-0.02
FLUX,VOTEFLUX.ORG | Upgrade Democracy!,38,1,1,0,425,0,58,0.01,7,0.02,50,0.01,62,0.01,602,0,0
IND,Independent,39,70,95,3,412200,3.49,14204,2.46,1252,2.71,17851,3.01,34329,2.83,479836,3.37,0.56
NAFD,Non Affiliated,40,2,2,0,1769,0.01,85,0.01,12,0.03,94,0.02,183,0.02,2143,0.02,0
