2022 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
WA,NP,The Nationals,2,1,1,0,7210,0.65,232,0.36,41,0.70,359,0.54,1318,0.57,9160,0.62,-0.81
WA,ALP,Australian Labor Party,3,15,15,9,414091,37.44,20892,31.97,2131,36.63,22765,34.20,82788,36.08,542667,36.84,+7.04
WA,CYA,Australian Federation Party,4,15,15,0,12433,1.12,1002,1.53,110,1.89,716,1.08,1659,0.72,15920,1.08,+1.08
WA,ON,Pauline Hanson's One Nation,5,15,15,0,43380,3.92,3648,5.58,286,4.92,3158,4.74,7754,3.38,58226,3.95,-1.36
WA,GRN,The Greens,6,15,15,0,136781,12.37,13360,20.45,981,16.86,9904,14.88,23068,10.05,184094,12.50,+0.88
WA,UAPP,United Australia Party,7,15,15,0,25768,2.33,2243,3.43,195,3.35,1865,2.80,3792,1.65,33863,2.30,+0.27
WA,WAP,WESTERN AUSTRALIA PARTY,8,15,15,0,23308,2.11,2021,3.09,143,2.46,1788,2.69,6003,2.62,33263,2.26,+0.46
WA,LDP,Liberal Democratic Party,9,10,10,0,9367,0.85,948,1.45,66,1.13,829,1.25,1687,0.74,12897,0.88,+0.88
WA,AUC,Australian Christians,10,9,9,0,15014,1.36,1005,1.54,80,1.38,856,1.29,2912,1.27,19867,1.35,-0.35
WA,GAP,The Great Australian Party,11,8,8,0,13249,1.20,925,1.42,88,1.51,756,1.14,1535,0.67,16553,1.12,+1.06
WA,AJP,Animal Justice Party,12,3,3,0,3671,0.33,513,0.79,41,0.70,370,0.56,929,0.40,5524,0.37,+0.28
WA,IMO,Informed Medical Options Party,13,1,1,0,587,0.05,45,0.07,5,0.09,34,0.05,114,0.05,785,0.05,+0.05
WA,SAL,Socialist Alliance,14,1,1,0,922,0.08,54,0.08,4,0.07,38,0.06,166,0.07,1184,0.08,+0.01
WA,IND,Independent,15,3,3,1,28013,2.53,1142,1.75,131,2.25,1232,1.85,5450,2.37,35968,2.44,+1.34
SA,LP,Liberal,1,10,10,3,295755,34.76,10980,27.64,1175,25.96,10141,33.36,69613,40.38,387664,35.31,-5.26
SA,NP,The Nationals,2,1,1,0,2069,0.24,77,0.19,11,0.24,80,0.26,294,0.17,2531,0.23,-0.03
SA,ALP,Australian Labor Party,3,10,10,6,293207,34.46,12745,32.08,1739,38.41,9797,32.23,60841,35.29,378329,34.46,-0.92
SA,XEN,Centre Alliance,4,1,1,1,29479,3.47,606,1.53,92,2.03,993,3.27,5330,3.09,36500,3.32,-1.06
SA,CYA,Australian Federation Party,5,10,10,0,8216,0.97,505,1.27,66,1.46,276,0.91,1291,0.75,10354,0.94,+0.94
SA,GRN,The Greens,6,10,10,0,110158,12.95,8227,20.71,746,16.48,4684,15.41,16412,9.52,140227,12.77,+3.16
SA,ON,Pauline Hanson's One Nation,7,10,10,0,40932,4.81,2489,6.27,283,6.25,1731,5.69,7622,4.42,53057,4.83,+3.99
SA,UAPP,United Australia Party,8,10,10,0,34392,4.04,2298,5.78,205,4.53,1314,4.32,4479,2.60,42688,3.89,-0.40
SA,AJP,Animal Justice Party,9,4,4,0,5181,0.61,369,0.93,49,1.08,258,0.85,1301,0.75,7158,0.65,-2.13
SA,LDP,Liberal Democratic Party,10,4,4,0,3984,0.47,324,0.82,25,0.55,262,0.86,653,0.38,5248,0.48,+0.48
SA,AUP,Australian Progressives,11,1,1,0,333,0.04,25,0.06,2,0.04,18,0.06,79,0.05,457,0.04,-0.01
SA,DPDA,Drew Pavlou Democratic Alliance,12,1,1,0,848,0.10,46,0.12,8,0.18,17,0.06,88,0.05,1007,0.09,+0.09
SA,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",13,1,1,0,1182,0.14,119,0.30,10,0.22,46,0.15,274,0.16,1631,0.15,+0.15
SA,GAP,The Great Australian Party,14,1,1,0,976,0.11,48,0.12,7,0.15,32,0.11,121,0.07,1184,0.11,+0.11
SA,TNL,TNL,15,1,1,0,167,0.02,23,0.06,0,0.00,11,0.04,50,0.03,251,0.02,+0.02
SA,IND,Independent,16,4,7,0,23869,2.81,846,2.13,109,2.41,738,2.43,3938,2.28,29500,2.69,+1.48
TAS,LP,Liberal,1,5,5,2,90726,32.69,2797,26.90,232,22.75,2659,28.42,18770,36.54,115184,32.94,+2.31
TAS,ALP,Australian Labor Party,2,5,5,2,76465,27.55,2516,24.20,285,27.94,2324,24.84,13732,26.74,95322,27.26,-6.35
TAS,IND,Independent,3,3,3,1,30807,11.10,1095,10.53,106,10.39,1251,13.37,5734,11.16,38993,11.15,-1.84
TAS,AJP,Animal Justice Party,4,5,5,0,3608,1.30,216,2.08,23,2.25,132,1.41,793,1.54,4772,1.36,+0.88
TAS,GRN,The Greens,5,5,5,0,33363,12.02,1909,18.36,176,17.25,1557,16.64,4967,9.67,41972,12.00,+1.88
TAS,LDP,Liberal Democratic Party,6,5,5,0,4115,1.48,192,1.85,18,1.76,182,1.95,557,1.08,5064,1.45,+1.45
TAS,ON,Pauline Hanson's One Nation,7,5,5,0,11216,4.04,538,5.17,47,4.61,381,4.07,1788,3.48,13970,3.99,+1.20
TAS,UAPP,United Australia Party,8,5,5,0,5159,1.86,288,2.77,40,3.92,194,2.07,756,1.47,6437,1.84,-3.01
TAS,JLN,Jacqui Lambie Network,9,4,4,0,18605,6.70,717,6.90,75,7.35,554,5.92,3779,7.36,23730,6.79,+6.79
TAS,TLOC,The Local Party of Australia,10,2,2,0,3498,1.26,130,1.25,18,1.76,121,1.29,487,0.95,4254,1.22,+1.22
ACT,LP,Liberal,1,3,3,0,63311,26.30,1123,22.83,206,23.79,2367,26.82,7752,29.09,74759,26.51,-4.81
ACT,ALP,Australian Labor Party,2,3,3,3,108950,45.26,1996,40.59,413,47.69,3499,39.64,11737,44.05,126595,44.89,+3.80
ACT,GRN,The Greens,3,3,3,0,44920,18.66,1159,23.57,182,21.02,1930,21.86,4457,16.73,52648,18.67,+1.82
ACT,ON,Pauline Hanson's One Nation,4,3,3,0,5515,2.29,165,3.36,17,1.96,287,3.25,646,2.42,6630,2.35,+2.35
ACT,UAPP,United Australia Party,5,3,3,0,5815,2.42,197,4.01,18,2.08,331,3.75,503,1.89,6864,2.43,-0.25
ACT,LDP,Liberal Democratic Party,6,1,1,0,1434,0.60,46,0.94,4,0.46,42,0.48,180,0.68,1706,0.60,-0.35
ACT,IND,Independent,7,2,2,0,10794,4.48,232,4.72,26,3.00,371,4.20,1372,5.15,12795,4.54,+0.12
NT,CLP,Country Liberal Party (NT),1,2,2,0,25963,29.55,452,24.47,83,23.12,1220,23.44,1946,34.32,29664,29.39,-8.13
NT,ALP,Australian Labor Party,2,2,2,2,34258,38.99,627,33.95,191,53.20,1660,31.89,1786,31.50,38522,38.16,-4.11
NT,GRN,The Greens,3,2,2,0,11180,12.73,295,15.97,26,7.24,861,16.54,820,14.46,13182,13.06,+2.91
NT,LDP,Liberal Democratic Party,4,2,2,0,6431,7.32,178,9.64,17,4.74,652,12.53,509,8.98,7787,7.71,+7.71
NT,ON,Pauline Hanson's One Nation,5,2,2,0,4521,5.15,122,6.61,13,3.62,415,7.97,347,6.12,5418,5.37,+5.37
NT,UAPP,United Australia Party,6,2,2,0,3912,4.45,119,6.44,25,6.96,287,5.51,167,2.95,4510,4.47,+1.62
NT,CEC,Australian Citizens Party,7,1,1,0,435,0.50,16,0.87,1,0.28,23,0.44,22,0.39,497,0.49,+0.49
NT,IND,Independent,8,1,2,0,1156,1.32,38,2.06,3,0.84,87,1.67,73,1.29,1357,1.34,-3.30
