2022 Federal Election House of Representatives First Preferences By Candidate By Vote Type [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
NSW,107,Blaxland,36823,CLARE,Jason,4,Y,Y,ALP,Labor,37249,1349,238,1066,5003,44905,-2.8
NSW,107,Blaxland,36254,SINOSIC,Elvis,5,N,N,UAPP,United Australia Party,4183,297,32,157,436,5105,3.37
NSW,107,Blaxland,999,Informal,Informal,999,N,N,,Informal,8710,355,73,148,598,9884,-2.51
NSW,108,Bradfield,36047,BOELE,Nicolette,1,N,N,IND,Independent,17197,302,38,258,2403,20198,20.89
NSW,108,Bradfield,36826,BRIGDEN,David Gordon,2,N,N,ALP,Labor,13468,556,30,525,2323,16902,-3.7
NSW,108,Bradfield,36362,COUSINS,Martin,3,N,N,GRN,The Greens,7017,421,23,307,1192,8960,-4.44
NSW,108,Bradfield,36101,KITSON,Janine,4,N,N,IND,Independent,2319,81,5,67,546,3018,3.12
NSW,108,Bradfield,36294,FLETCHER,Rob,5,N,N,UAPP,United Australia Party,2071,90,6,60,269,2496,0.74
NSW,108,Bradfield,37016,FLETCHER,Paul,6,Y,Y,LP,Liberal,34029,896,82,945,7610,43562,-15.28
NSW,108,Bradfield,37563,LOWE,Michael,7,N,N,ON,Pauline Hanson's One Nation,1201,58,3,49,257,1568,1.62
NSW,108,Bradfield,999,Informal,Informal,999,N,N,,Informal,2966,127,9,50,464,3616,-0.45
NSW,109,Calare,35951,HOOK,Kate,1,N,N,IND,Independent,19902,332,52,507,1098,21891,20.4
NSW,109,Calare,37543,WHITTAKER,Stacey,2,N,N,ON,Pauline Hanson's One Nation,7915,235,29,286,592,9057,8.44
NSW,109,Calare,36320,NANKERVIS,Kay,3,N,N,GRN,The Greens,3979,222,14,287,389,4891,-1.5
NSW,109,Calare,36799,ELLIOTT,Sarah,4,N,N,ALP,Labor,14183,418,41,529,1081,16252,-6.99
NSW,109,Calare,36348,GEE,Andrew,5,Y,Y,NP,The Nationals,45809,732,72,1170,3378,51161,2.96
NSW,109,Calare,36263,JANNIS,Adam John,6,N,N,UAPP,United Australia Party,3539,147,20,132,229,4067,0.56
NSW,109,Calare,999,Informal,Informal,999,N,N,,Informal,4101,93,10,59,192,4455,-1.67
NSW,111,Chifley,37555,BATISH,Amit,1,N,N,ON,Pauline Hanson's One Nation,4803,294,35,250,652,6034,6.21
NSW,111,Chifley,37041,RASKOV,Zvetanka,2,N,N,UAPP,United Australia Party,4338,215,40,187,369,5149,0.76
NSW,111,Chifley,24190,KHAN,Ammar,3,N,N,IND,Independent,1464,101,8,97,169,1839,0.15
NSW,111,Chifley,36667,ROUGHLEY,Ben,4,N,N,LDP,Liberal Democrats,2475,162,11,192,423,3263,3.36
NSW,111,Chifley,36329,SELVENTHIRAN,Sujan,5,N,N,GRN,The Greens,4544,290,27,259,502,5622,0.72
NSW,111,Chifley,37045,SINGH,Jugandeep,6,N,N,LP,Liberal,19492,623,80,1255,2596,24046,-3.18
NSW,111,Chifley,36788,HUSIC,Ed,7,Y,Y,ALP,Labor,43105,1167,213,1671,5080,51236,-1.58
NSW,111,Chifley,999,Informal,Informal,999,N,N,,Informal,8466,280,53,208,464,9471,-0.78
NSW,112,Cook,37731,CAMERON,Gaye,1,N,N,ON,Pauline Hanson's One Nation,4101,218,20,189,457,4985,1.61
NSW,112,Cook,36301,DYSON,Catherine,2,N,N,GRN,The Greens,7903,453,30,381,918,9685,3.09
NSW,112,Cook,37025,MORRISON,Scott,3,Y,Y,LP,Liberal,46094,1090,135,1089,5914,54322,-8.17
NSW,112,Cook,36694,GUINANE,Jacqueline,4,N,N,UAPP,United Australia Party,3713,212,17,131,308,4381,3.27
NSW,112,Cook,36784,EARLE,Simon,5,N,N,ALP,Labor,20399,786,75,649,2535,24444,1.89
NSW,112,Cook,999,Informal,Informal,999,N,N,,Informal,3866,169,21,70,372,4498,-1.73
NSW,113,Cowper,37556,ASPIOTIS,Faye,1,N,N,ON,Pauline Hanson's One Nation,7768,234,23,408,614,9047,8.13
NSW,113,Cowper,36909,McMULLEN,Keith,2,N,N,ALP,Labor,13057,391,31,728,1359,15566,0.2
NSW,113,Cowper,36342,CONAGHAN,Pat,3,Y,Y,NP,The Nationals,38596,507,36,1181,3589,43909,-7.6
NSW,113,Cowper,36245,HEISE,Caz,4,N,N,IND,Independent,25938,356,53,718,2141,29206,26.26
NSW,113,Cowper,36662,CHASELING,Simon,5,N,N,LDP,Liberal Democrats,3403,165,13,338,397,4316,3.88
NSW,113,Cowper,36259,FAIRHALL,Joshua Stephen,6,N,N,UAPP,United Australia Party,2221,112,6,138,197,2674,-0.62
NSW,113,Cowper,36322,NOTT,Timothy,7,N,N,GRN,The Greens,5213,300,15,468,522,6518,-0.08
NSW,113,Cowper,999,Informal,Informal,999,N,N,,Informal,5188,157,15,167,243,5770,-2.85
NSW,114,Cunningham,37020,UREN,Marcus,1,N,N,LP,Liberal,21413,504,44,724,2733,25418,-5.97
NSW,114,Cunningham,36370,BRITTON,Ben,2,N,N,UAPP,United Australia Party,4344,176,13,141,262,4936,1.05
NSW,114,Cunningham,36778,BYRNES,Alison,3,Y,N,ALP,Labor,35289,906,92,1029,3467,40783,-6.5
NSW,114,Cunningham,36644,GARNAUT-MILLER,Alexis,4,N,N,CEC,Citizens Party,933,38,6,20,101,1098,1.08
NSW,114,Cunningham,36356,GREEN,Dylan,5,N,N,GRN,The Greens,19125,627,72,693,1494,22011,6.56
NSW,114,Cunningham,36669,GLOVER,Michael,6,N,N,LDP,Liberal Democrats,1911,57,6,63,170,2207,2.17
NSW,114,Cunningham,37517,GROGAN,Thomas,7,N,N,ON,Pauline Hanson's One Nation,4346,183,19,164,506,5218,5.13
NSW,114,Cunningham,999,Informal,Informal,999,N,N,,Informal,4912,141,20,102,339,5514,-0.56
NSW,115,Dobell,36312,BARNES,Geoff,1,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",1757,127,11,75,232,2202,2.16
NSW,115,Dobell,36261,MACKIN,Dean James,2,N,N,UAPP,United Australia Party,3199,180,14,155,270,3818,-1.58
NSW,115,Dobell,37015,FENELEY,Michael,3,N,N,LP,Liberal,28251,696,103,783,4443,34276,-7.03
NSW,115,Dobell,36336,CONNOR,Cath,4,N,N,GRN,The Greens,7179,435,52,291,743,8700,1.08
NSW,115,Dobell,37550,STEVENSON,Martin,5,N,N,ON,Pauline Hanson's One Nation,6373,316,30,220,644,7583,7.45
NSW,115,Dobell,36663,METHERELL,Eliot,6,N,N,LDP,Liberal Democrats,1207,82,4,68,182,1543,1.52
NSW,115,Dobell,36779,McBRIDE,Emma,7,Y,Y,ALP,Labor,36686,1037,150,939,4783,43595,1.37
NSW,115,Dobell,999,Informal,Informal,999,N,N,,Informal,4301,174,21,104,330,4930,-1.35
NSW,117,Eden-Monaro,37389,HOLGATE,James,1,N,N,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,1789,42,7,130,292,2260,2.23
NSW,117,Eden-Monaro,36666,HOLMES,Maxwell,2,N,N,LDP,Liberal Democrats,2163,50,5,153,254,2625,2.59
NSW,117,Eden-Monaro,36803,McBAIN,Kristy,3,Y,Y,ALP,Labor,36294,443,74,1299,5105,43215,3.4
NSW,117,Eden-Monaro,37360,BUTLER,Greg,4,N,N,AUD,Australian Democrats,525,6,4,21,95,651,0.64
NSW,117,Eden-Monaro,36744,GARNON,Darren Scott,5,N,N,UAPP,United Australia Party,2177,50,5,110,224,2566,-0.24
NSW,117,Eden-Monaro,37193,NOCKLES,Jerry,6,N,N,LP,Liberal,27415,314,42,1110,4639,33520,-3.99
NSW,117,Eden-Monaro,36297,HARRIS,Vivian,7,N,N,GRN,The Greens,7578,164,15,460,1159,9376,0.46
NSW,117,Eden-Monaro,36403,McLENNAN,Toni,8,N,N,IMO,Informed Medical Options Party,765,16,0,36,92,909,0.9
NSW,117,Eden-Monaro,37724,THALER,Andrew,9,N,N,IND,Independent,1634,36,5,104,265,2044,2.01
NSW,117,Eden-Monaro,37549,SHANNON,Boyd,10,N,N,ON,Pauline Hanson's One Nation,3559,73,13,166,540,4351,4.29
NSW,117,Eden-Monaro,999,Informal,Informal,999,N,N,,Informal,6329,120,17,180,437,7083,-0.28
NSW,118,Farrer,36331,DAVERN,Eli,1,N,N,GRN,The Greens,7659,103,16,574,811,9163,4.45
NSW,118,Farrer,37032,LEY,Sussan,2,Y,Y,LP,Liberal,43852,345,77,2333,5959,52566,1.55
NSW,118,Farrer,37644,DUNCAN-STRELEC,Amanda,3,N,N,IND,Independent,2570,34,5,206,374,3189,3.17
NSW,118,Farrer,37318,BRITTON,Paul,4,N,N,ASP,"Shooters, Fishers and Farmers Party",4392,83,9,339,516,5339,5.31
NSW,118,Farrer,36668,ROWORTH,Ian Christopher,5,N,N,LDP,Liberal Democrats,1302,17,3,102,171,1595,0.48
NSW,118,Farrer,37561,FRANCIS,Richard,6,N,N,ON,Pauline Hanson's One Nation,5290,72,15,348,638,6363,6.33
NSW,118,Farrer,36274,RAMOS,Julie,7,N,N,UAPP,United Australia Party,2792,40,7,180,251,3270,-1.01
NSW,118,Farrer,36789,CAMERON,Darren Michael,8,N,N,ALP,Labor,16052,187,33,1076,1749,19097,4.35
NSW,118,Farrer,999,Informal,Informal,999,N,N,,Informal,7524,60,25,286,361,8256,-1.54
NSW,119,Fowler,36907,KENEALLY,Kristina,1,N,N,ALP,Labor,25725,1062,137,906,3143,30973,-18.48
NSW,119,Fowler,36305,PANICH,Lela Lepa,2,N,N,UAPP,United Australia Party,4724,254,22,159,353,5512,2.09
NSW,119,Fowler,36676,RUNGE,Peter Ronald,3,N,N,LDP,Liberal Democrats,1680,120,8,96,190,2094,2.44
NSW,119,Fowler,36240,LE,Dai,4,Y,N,IND,Independent,22462,362,98,318,2106,25346,29.51
NSW,119,Fowler,37026,NGUYEN,Courtney,5,N,N,LP,Liberal,11580,539,49,605,1967,14740,-12.89
NSW,119,Fowler,37566,MARGOS,Tony,6,N,N,ON,Pauline Hanson's One Nation,2308,150,17,126,446,3047,3.55
NSW,119,Fowler,36679,HOWARD,Avery,7,N,N,GRN,The Greens,3277,246,19,178,471,4191,-0.66
NSW,119,Fowler,999,Informal,Informal,999,N,N,,Informal,9123,353,47,129,446,10098,-2.59
NSW,120,Gilmore,37023,CONSTANCE,Andrew,1,N,N,LP,Liberal,38490,625,43,1689,6094,46941,12.83
NSW,120,Gilmore,37405,DIGIGLIO,Nina,2,N,N,IND,Independent,4009,115,9,169,419,4721,4.23
NSW,120,Gilmore,36682,McCALLUM,Carmel,3,N,N,GRN,The Greens,9351,360,25,587,1094,11417,0.25
NSW,120,Gilmore,36270,MALONEY,Jordan Lindsay,4,N,N,UAPP,United Australia Party,2563,128,5,141,271,3108,-0.6
NSW,120,Gilmore,37515,EID,Jerremy,5,N,N,ON,Pauline Hanson's One Nation,3580,125,12,225,511,4453,3.99
NSW,120,Gilmore,36671,FADINI,Adrian,6,N,N,LDP,Liberal Democrats,720,36,1,44,89,890,0.8
NSW,120,Gilmore,36776,PHILLIPS,Fiona,7,Y,Y,ALP,Labor,33557,618,63,1435,4502,40175,-0.22
NSW,120,Gilmore,999,Informal,Informal,999,N,N,,Informal,4466,128,14,182,380,5170,-0.83
NSW,121,Grayndler,36278,SMITH,David Bruce,1,N,N,UAPP,United Australia Party,1721,130,6,75,169,2101,1.01
NSW,121,Grayndler,36782,ALBANESE,Anthony,2,Y,Y,ALP,Labor,42072,1356,189,1443,5663,50723,2.77
NSW,121,Grayndler,37029,ZHANG,Ben,3,N,N,LP,Liberal,12034,495,41,442,2099,15111,-5.78
NSW,121,Grayndler,36327,HAGGERTY,James,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",965,47,8,38,164,1222,1.29
NSW,121,Grayndler,37650,KILHAM,Sarina,5,N,N,IND,Independent,1499,74,6,71,323,1973,2.09
NSW,121,Grayndler,37534,HENSELIN,Paul,6,N,N,ON,Pauline Hanson's One Nation,1137,83,5,74,150,1449,1.53
NSW,121,Grayndler,36749,DELLO-IACOVO,Michael Armando,7,N,N,AJP,Animal Justice Party,895,34,4,40,175,1148,1.21
NSW,121,Grayndler,36317,JACOBS,Rachael,8,N,N,GRN,The Greens,16958,787,86,730,2285,20846,-0.51
NSW,121,Grayndler,999,Informal,Informal,999,N,N,,Informal,3749,208,18,123,385,4483,0.28
NSW,122,Greenway,36264,REX,Mark Andrew,1,N,N,UAPP,United Australia Party,3483,250,21,137,468,4359,1.35
NSW,122,Greenway,36787,ROWLAND,Michelle,2,Y,Y,ALP,Labor,40546,1213,153,890,5749,48551,2.32
NSW,122,Greenway,36674,KACHWALLA,Adam,3,N,N,LDP,Liberal Democrats,2349,161,12,82,410,3014,3
NSW,122,Greenway,37805,BOSI,Riccardo Umberto Guerrino,4,N,N,IND,Independent,2873,89,10,55,245,3272,3.25
NSW,122,Greenway,37810,NANDA,Love Preet Singh,5,N,N,IND,Independent,1438,42,10,36,89,1615,1.61
NSW,122,Greenway,37806,TURNER,Rick,6,N,N,ON,Pauline Hanson's One Nation,1956,151,11,106,486,2710,2.7
NSW,122,Greenway,37042,PATHI,Pradeep,7,N,N,LP,Liberal,24605,642,77,564,4044,29932,-10.81
NSW,122,Greenway,36328,ATKINS,Damien,8,N,N,GRN,The Greens,5634,363,36,214,839,7086,1.55
NSW,122,Greenway,999,Informal,Informal,999,N,N,,Informal,7717,395,32,170,685,8999,1.46
NSW,124,Hughes,37190,WARE,Jenny,1,Y,N,LP,Liberal,34983,920,91,1172,4982,42148,-9.67
NSW,124,Hughes,36359,THOMPSON,Pete,2,N,N,GRN,The Greens,4875,336,10,265,632,6118,-0.63
NSW,124,Hughes,36104,STEELE,Georgia,3,N,N,IND,Independent,12187,257,22,247,1178,13891,14.33
NSW,124,Hughes,36249,KELLY,Craig,4,N,Y,UAPP,United Australia Party,6099,288,27,252,520,7186,4.94
NSW,124,Hughes,37821,SEYMOUR,Narelle,5,N,N,ON,Pauline Hanson's One Nation,2012,109,8,113,358,2600,2.68
NSW,124,Hughes,37398,SEYMOUR,Linda,6,N,N,IND,Independent,2682,66,6,66,318,3138,3.24
NSW,124,Hughes,36790,CAMPBELL,Riley,7,N,N,ALP,Labor,18199,645,49,682,2253,21828,-7.94
NSW,124,Hughes,999,Informal,Informal,999,N,N,,Informal,3805,158,6,99,319,4387,-0.84
NSW,125,Hume,36785,BAINES,Greg,1,N,N,ALP,Labor,17370,736,66,684,2008,20864,-6.65
NSW,125,Hume,36341,DOLLIN,Garry Trevor,2,N,N,UAPP,United Australia Party,4054,196,19,149,362,4780,-0.26
NSW,125,Hume,37521,THOMPSON,Rebecca,3,N,N,ON,Pauline Hanson's One Nation,6372,310,28,265,725,7700,7.35
NSW,125,Hume,37730,MENERIPITIYAGE DONA,Sheneli,4,N,N,IND,Independent,933,42,6,35,108,1124,1.07
NSW,125,Hume,37320,SELLER,Ross Edward,5,N,N,ASP,"Shooters, Fishers and Farmers Party",2456,165,14,145,328,3108,2.97
NSW,125,Hume,36323,STEWART,Karen,6,N,N,GRN,The Greens,4088,289,23,249,545,5194,-0.14
NSW,125,Hume,37034,TAYLOR,Angus,7,Y,Y,LP,Liberal,37517,1117,111,1295,5137,45177,-10.17
NSW,125,Hume,36772,DE LIMA,Joaquim Eduardo,8,N,N,LDP,Liberal Democrats,621,37,4,29,79,770,0.73
NSW,125,Hume,37807,ACKERY,Penny,9,N,N,IND,Independent,14024,246,48,300,1427,16045,15.32
NSW,125,Hume,999,Informal,Informal,999,N,N,,Informal,7004,398,23,160,455,8040,0.67
NSW,126,Hunter,36307,MURRAY,Janet,1,N,N,GRN,The Greens,7788,480,36,350,908,9562,2.01
NSW,126,Hunter,36792,REPACHOLI,Dan,2,Y,N,ALP,Labor,35820,961,108,810,3815,41514,0.97
NSW,126,Hunter,36401,DAVIES,Victoria,3,N,N,AJP,Animal Justice Party,1934,105,12,103,315,2469,-0.91
NSW,126,Hunter,32415,BONDS,Stuart,4,N,N,IND,Independent,5330,174,19,167,436,6126,5.69
NSW,126,Hunter,37574,TOWNSEND,Cathy,5,N,N,IMO,Informed Medical Options Party,1163,71,2,58,164,1458,1.35
NSW,126,Hunter,36273,PASSFIELD,Geoff,6,N,N,UAPP,United Australia Party,3640,183,14,166,367,4370,-0.26
NSW,126,Hunter,36296,THOMSON,James,7,N,N,NP,The Nationals,25594,397,47,624,2878,29540,3.95
NSW,126,Hunter,37525,McNAMARA,Dale,8,N,N,ON,Pauline Hanson's One Nation,8975,385,33,410,956,10759,-11.6
NSW,126,Hunter,37365,LARUFFA,Scott Fulvio,9,N,N,IND,Independent,1542,87,6,98,196,1929,1.79
NSW,126,Hunter,999,Informal,Informal,999,N,N,,Informal,7893,310,39,223,436,8901,-1.34
NSW,127,Kingsford Smith,36337,DAVIS,Stuart,1,N,N,GRN,The Greens,13091,666,56,767,1821,16401,4.73
NSW,127,Kingsford Smith,37824,MARR,Darrin,2,N,N,ON,Pauline Hanson's One Nation,2487,107,11,116,330,3051,3.13
NSW,127,Kingsford Smith,36338,TAWAF,Anthony,3,N,N,UAPP,United Australia Party,2790,148,13,143,294,3388,1.73
NSW,127,Kingsford Smith,37039,TAN,Grace,4,N,N,LP,Liberal,22650,627,86,952,3614,27929,-7.77
NSW,127,Kingsford Smith,36781,THISTLETHWAITE,Matt,5,Y,Y,ALP,Labor,38895,944,157,1324,5377,46697,2.74
NSW,127,Kingsford Smith,999,Informal,Informal,999,N,N,,Informal,3845,107,14,120,486,4572,-1.31
NSW,128,Lindsay,36783,ROSS,Trevor,1,N,N,ALP,Labor,28235,775,110,781,3305,33206,-3.9
NSW,128,Lindsay,36345,MORSSINK,Pieter,2,N,N,GRN,The Greens,7097,273,41,221,772,8404,3.11
NSW,128,Lindsay,37526,JAGO,Max,3,N,N,ON,Pauline Hanson's One Nation,5090,219,24,206,664,6203,5.92
NSW,128,Lindsay,36354,O'CONNOR,Joseph,4,N,N,UAPP,United Australia Party,3539,178,23,133,399,4272,1.17
NSW,128,Lindsay,37160,McINTOSH,Melissa,5,Y,Y,LP,Liberal,41577,800,138,937,5487,48939,0.28
NSW,128,Lindsay,36853,McCLURE,Gareth,6,N,N,LDP,Liberal Democrats,1355,51,9,50,162,1627,1.55
NSW,128,Lindsay,37150,RAY,Rebekah,7,N,N,IMO,Informed Medical Options Party,1757,63,10,50,195,2075,1.98
NSW,128,Lindsay,999,Informal,Informal,999,N,N,,Informal,6870,248,29,126,481,7754,-4.19
NSW,130,Lyne,36368,PEARCE,Joanne,1,N,N,IND,Independent,3118,190,8,156,348,3820,3.56
NSW,130,Lyne,36289,PUTLAND,Joel,2,N,N,UAPP,United Australia Party,3824,168,15,143,271,4421,0.07
NSW,130,Lyne,36310,GILLESPIE,David,3,Y,Y,NP,The Nationals,40587,635,56,1155,4228,46661,-5.84
NSW,130,Lyne,36775,SIMPSON,Alex,4,N,N,ALP,Labor,19788,595,35,652,1954,23024,-2.62
NSW,130,Lyne,37616,ATTKINS,Steve,5,N,N,IND,Independent,4958,116,10,123,367,5574,5.2
NSW,130,Lyne,36856,HORNSHAW,Mark,6,N,N,LDP,Liberal Democrats,5505,314,16,384,605,6824,0.56
NSW,130,Lyne,37514,CASHMAN,Josephine,7,N,N,ON,Pauline Hanson's One Nation,7278,267,36,259,662,8502,7.93
NSW,130,Lyne,36287,ATTENBOROUGH,Karl,8,N,N,GRN,The Greens,6950,401,13,363,695,8422,1.34
NSW,130,Lyne,999,Informal,Informal,999,N,N,,Informal,6796,215,18,201,333,7563,-2.48
NSW,131,Macarthur,36346,RIVERA,Jayden,1,N,N,GRN,The Greens,6910,514,39,385,736,8584,3.3
NSW,131,Macarthur,37169,PAUDEL,Binod,2,N,N,LP,Liberal,28194,953,114,1210,3396,33867,-0.37
